#Transcript position	Transcript coverage profile
0.0	6143.223227013906
1.0	7454.473500614987
2.0	9260.042627534964
3.0	9652.768802314555
4.0	10556.663135529294
5.0	11712.687008720688
6.0	13411.629781657759
7.0	14191.330977312426
8.0	14659.161716869
9.0	16337.794329871607
10.0	18226.599778920954
11.0	19783.17246362765
12.0	20907.583331792797
13.0	21349.35653261912
14.0	22134.76986769827
15.0	22720.051987117196
16.0	22867.510258829134
17.0	23227.962130475655
18.0	23836.854848551233
19.0	23797.279190617453
20.0	23827.990960925094
21.0	24003.991374750407
22.0	24240.591937866622
23.0	26225.18331916243
24.0	25635.90745242179
25.0	23432.52721499078
26.0	22026.418770618784
27.0	21170.41201286853
28.0	21664.19121528939
29.0	20974.031651693338
30.0	21332.62446405726
31.0	21044.646768623727
32.0	21958.906696110174
33.0	22460.8213090891
34.0	23006.55962223697
35.0	25067.02493175213
36.0	27510.96561785819
37.0	27859.44110791432
38.0	26927.66508371345
39.0	27234.011324387535
40.0	27432.171905124524
41.0	27254.172536853956
42.0	26983.32442186726
43.0	26666.746353437982
44.0	26154.981199631187
45.0	26358.55754570964
46.0	25131.24667197766
47.0	23342.711052704555
48.0	25862.54211690717
49.0	27790.800433358494
50.0	27393.37102609039
51.0	25170.731079793182
52.0	24352.351738320107
53.0	25117.431245385746
54.0	26117.81780361558
55.0	26260.773948797614
56.0	25369.65644789245
57.0	24087.816522314035
58.0	24483.71964390158
59.0	24506.84287013376
60.0	24289.21422831278
61.0	24389.314099209147
62.0	25176.05016964536
63.0	25003.978776880227
64.0	23473.416310412704
65.0	20574.166988860296
66.0	18698.797161346094
67.0	19541.66292477254
68.0	21271.943638649278
69.0	21535.77842618502
70.0	22842.679458745686
71.0	22854.47069769254
72.0	25098.381554437346
73.0	28638.764039651418
74.0	29376.421153201383
75.0	28738.119045902036
76.0	30412.980630423033
77.0	28619.254715707077
78.0	27329.077145751256
79.0	25993.018298786206
80.0	24403.813932718112
81.0	23138.01332693863
82.0	22762.42324724943
83.0	22415.21709293278
84.0	20298.639380175977
85.0	19172.121892342766
86.0	18693.582462786893
87.0	19345.609922578125
88.0	18972.427755442674
89.0	17767.444674554616
90.0	15671.91481741986
91.0	14702.20023388313
92.0	13330.629488000828
93.0	12482.344263850458
94.0	10714.134596752403
95.0	8770.787132216454
96.0	6614.029127886002
97.0	3941.4453829611502
98.0	1764.8406366348697
99.0	584.1897599959119
