#Transcript position	Transcript coverage profile
0.0	55842.09727333978
1.0	59450.847611558194
2.0	64761.703224647325
3.0	70159.88917152697
4.0	76650.06312127244
5.0	82516.96673888691
6.0	88652.24596421166
7.0	93924.9900314218
8.0	97230.48050155303
9.0	102135.29103474249
10.0	107679.90903024608
11.0	111363.79695428662
12.0	114861.93659415859
13.0	118144.112426464
14.0	119790.25769281662
15.0	121974.7757011993
16.0	122573.50871322086
17.0	124711.5309538074
18.0	126324.14923156533
19.0	128879.2920653148
20.0	130611.65763622045
21.0	132172.66987481993
22.0	133553.85108713538
23.0	136601.25880327058
24.0	137240.621136628
25.0	135081.09748414025
26.0	134714.62229507862
27.0	134185.6900945699
28.0	136109.1536201638
29.0	135103.85057438517
30.0	135485.95484314123
31.0	136945.87586602537
32.0	138589.56897675345
33.0	139301.07819270343
34.0	140568.39551901122
35.0	141626.8697949644
36.0	144104.62891879282
37.0	144009.34941726289
38.0	143537.59523262893
39.0	144158.7050483763
40.0	145762.26262484922
41.0	145296.2905869974
42.0	145890.1219676205
43.0	145526.36591998817
44.0	145519.16827308398
45.0	146003.91102200517
46.0	145468.528983714
47.0	144337.666446915
48.0	147093.57628128157
49.0	148457.09368525833
50.0	147229.12970038527
51.0	144120.7843598999
52.0	143137.6417528672
53.0	142902.36711529052
54.0	143416.03540550882
55.0	143058.21283779404
56.0	141363.5989302814
57.0	141234.56049726062
58.0	141864.8441114109
59.0	141055.760787258
60.0	140725.27363855124
61.0	140443.05038599484
62.0	141274.90900028156
63.0	141074.8097792596
64.0	139251.0080830979
65.0	135376.18738186502
66.0	133022.84469592833
67.0	132860.9808286963
68.0	134902.45351154922
69.0	135116.94261675974
70.0	136621.87516463472
71.0	136257.27735814027
72.0	138170.249386737
73.0	141940.84156331918
74.0	143157.35915402276
75.0	143547.85834775754
76.0	145650.7871005494
77.0	144045.5014345124
78.0	142571.98687221063
79.0	141288.24028869864
80.0	140552.58894595443
81.0	139036.39428769774
82.0	136618.1874690615
83.0	134893.40922855758
84.0	131234.92345319106
85.0	128896.88503957662
86.0	126077.73615054878
87.0	126264.79135813436
88.0	124079.97991794706
89.0	120050.42985155448
90.0	113817.00153290828
91.0	108379.17598659969
92.0	99654.06219164257
93.0	91601.41893272816
94.0	83167.20747333352
95.0	72949.32239882366
96.0	61347.460826822295
97.0	45230.545499009575
98.0	27581.79649609427
99.0	9041.825698062255
