#Transcript position	Transcript coverage profile
0.0	7130.475910982764
1.0	9356.788705329132
2.0	10935.395894436006
3.0	10939.431532947881
4.0	11971.338634297716
5.0	13614.804642531257
6.0	15291.29239506602
7.0	16569.232486436944
8.0	18123.485556911022
9.0	20650.412052955908
10.0	23481.8908339248
11.0	25429.203880297002
12.0	26462.4342008309
13.0	26125.120851194537
14.0	26851.48298242995
15.0	27197.118603464547
16.0	27785.591110427875
17.0	27802.1197580764
18.0	28314.269031626165
19.0	27542.70614487
20.0	27357.80492463446
21.0	27813.807524897627
22.0	27634.97855121732
23.0	29361.05597876406
24.0	28563.84014476132
25.0	26984.388602712446
26.0	27219.90885857319
27.0	26972.495306764682
28.0	28288.09202295637
29.0	28236.81458690615
30.0	29352.234903408113
31.0	29354.476410279483
32.0	30753.49669897299
33.0	30795.281678116844
34.0	30172.57614659732
35.0	30693.37208146242
36.0	32221.525432381164
37.0	32171.23091531957
38.0	31270.518639432765
39.0	32499.07340836955
40.0	33422.05498397337
41.0	33475.584660548615
42.0	33775.21867202641
43.0	33793.120479455676
44.0	32487.558747969488
45.0	32890.114705886226
46.0	32245.40280981578
47.0	30873.836197890232
48.0	33434.859546619286
49.0	35444.72042287844
50.0	34706.026056012255
51.0	32230.11063914126
52.0	31835.876899794817
53.0	33018.54559619393
54.0	33935.99128332356
55.0	33880.155432371066
56.0	32254.02118336701
57.0	30678.57969304028
58.0	30110.141407088217
59.0	29766.881761678556
60.0	30038.97391697409
61.0	30406.08488354105
62.0	31093.055902104432
63.0	31291.962230737925
64.0	30072.129211623243
65.0	26856.691571253778
66.0	25114.9649269162
67.0	25331.24871730877
68.0	26225.433590359266
69.0	25883.37486021677
70.0	26334.74541776005
71.0	25396.290422295584
72.0	27365.64368594534
73.0	31963.23976018548
74.0	33862.54041620386
75.0	33072.03427918114
76.0	33610.86792934573
77.0	31361.6269211136
78.0	30333.662801170783
79.0	28200.304385907584
80.0	26432.371288654776
81.0	25549.4870322789
82.0	25182.310187865623
83.0	24595.478751301758
84.0	22736.508520479252
85.0	21522.29641582203
86.0	20443.246352994844
87.0	20912.240937505925
88.0	20205.939875606266
89.0	18890.534245061797
90.0	17084.17060111759
91.0	16900.86571782299
92.0	15254.170662238981
93.0	14329.075756224343
94.0	12708.136477315327
95.0	10594.689781685274
96.0	7527.273513856963
97.0	4541.241053620038
98.0	2367.8311744561865
99.0	837.7171992362764
