#Transcript position	Transcript coverage profile
0.0	58178.09910266292
1.0	62920.50850448577
2.0	68669.82882006218
3.0	73589.59402735456
4.0	80158.075465747
5.0	86172.29433557569
6.0	92097.85864364704
7.0	97888.98460498155
8.0	102300.1282052835
9.0	108633.47982603109
10.0	115196.53840920911
11.0	119031.21304987877
12.0	121710.00719179693
13.0	124407.29925324468
14.0	126320.86683344915
15.0	128434.67426985514
16.0	129482.28331543837
17.0	131310.34254930855
18.0	132703.04552687283
19.0	134682.96230337836
20.0	136445.14849945137
21.0	138230.08109461318
22.0	139557.63765143792
23.0	142415.78696528252
24.0	142714.7616179867
25.0	141327.62565381412
26.0	142022.13598295525
27.0	141773.6870691148
28.0	143848.85127728383
29.0	143797.92515245633
30.0	144671.28627083436
31.0	145668.79886150957
32.0	147596.48078245812
33.0	148368.6853825581
34.0	148828.31300385136
35.0	148982.4365197588
36.0	151085.94655401373
37.0	150779.45349769137
38.0	150299.96644044112
39.0	151775.12344821024
40.0	153710.18073467625
41.0	154104.72513312945
42.0	155254.35485874987
43.0	155090.73708783393
44.0	153670.46716556922
45.0	154260.72187750234
46.0	154070.79599749055
47.0	152985.97460559255
48.0	155631.32382879572
49.0	157074.38027317348
50.0	155577.6718494751
51.0	152234.2147669841
52.0	151966.97097073283
53.0	151943.52380034456
54.0	152202.0165910319
55.0	151820.59880161413
56.0	149483.4897774635
57.0	148657.25015478153
58.0	148939.47246809214
59.0	148414.09003223132
60.0	148706.17037503506
61.0	149116.71970076542
62.0	150126.61491994717
63.0	149787.15713999275
64.0	147752.5034533561
65.0	143300.94256162448
66.0	140444.23919512134
67.0	140250.103573318
68.0	141441.57340762406
69.0	141335.8341110016
70.0	142187.59797846983
71.0	141026.00892954317
72.0	142992.69069878652
73.0	147694.96898912828
74.0	149918.34502031593
75.0	149901.4984825472
76.0	151051.116577688
77.0	149588.67396696447
78.0	147863.49630624158
79.0	146310.74173144638
80.0	145204.80722847392
81.0	143762.1053383615
82.0	141260.41390190626
83.0	139107.82888882127
84.0	135471.58618066227
85.0	132999.0199803748
86.0	129613.39316012648
87.0	129619.26076478879
88.0	126999.72141888476
89.0	122238.47943859432
90.0	115620.01958350293
91.0	110577.26708007854
92.0	101666.96339998138
93.0	93506.22930390979
94.0	85145.8002380304
95.0	74529.2282933355
96.0	62145.25429854003
97.0	45717.6989408364
98.0	27943.8466078539
99.0	9189.418987751147
