#Transcript position	Transcript coverage profile
0.0	724.5199514434412
1.0	841.8205817030362
2.0	1213.5148845005094
3.0	2043.1984087991361
4.0	2788.5606271833917
5.0	3408.396401374739
6.0	3298.7650305403076
7.0	3272.059309852842
8.0	3485.9931820715437
9.0	4408.848109204854
10.0	6880.316448911343
11.0	14915.19887845731
12.0	16810.744411817872
13.0	16922.800980827265
14.0	13527.641120622231
15.0	6350.564739205562
16.0	4080.761375464019
17.0	3464.4297091947346
18.0	3602.965648774157
19.0	4462.69600091113
20.0	5237.071794289661
21.0	6267.295491470961
22.0	6953.795952782378
23.0	10482.34469015924
24.0	8975.160517924644
25.0	10391.143312608148
26.0	12110.695268171754
27.0	13616.747258535217
28.0	12845.393429335376
29.0	11311.352740230615
30.0	11293.092057114667
31.0	9371.124128195577
32.0	8389.452654492607
33.0	10354.710858935496
34.0	12100.75425258072
35.0	12132.724510625345
36.0	11343.85774800105
37.0	8747.344236934105
38.0	6995.324148673493
39.0	6478.311833865607
40.0	7715.665846983183
41.0	10833.602785013249
42.0	11973.608308265599
43.0	13457.459029727215
44.0	11184.328267644476
45.0	9343.265471645736
46.0	7648.65119085198
47.0	6273.913749639203
48.0	5176.969573238038
49.0	5177.459794747392
50.0	5193.096779831242
51.0	5227.458407580456
52.0	5242.682579539693
53.0	5304.185562307198
54.0	5583.570127660973
55.0	5303.349867458344
56.0	5563.748176673998
57.0	6259.507381050268
58.0	6575.224576567455
59.0	6547.227462144723
60.0	7035.258760526787
61.0	8243.907056460606
62.0	8529.190511336175
63.0	8642.783261086755
64.0	8621.924526209023
65.0	8265.847506380578
66.0	7268.7899811595325
67.0	7020.9185853972185
68.0	7210.3330705269855
69.0	7563.774290982012
70.0	7093.292318523693
71.0	6070.905770578064
72.0	5172.053282372007
73.0	4609.26462352477
74.0	4696.211526044808
75.0	4659.952729230274
76.0	5391.791342087075
77.0	5170.6063698034795
78.0	4618.997505084441
79.0	3877.7844108421086
80.0	3765.0596445661117
81.0	4533.3935258936435
82.0	4209.9451561727
83.0	4317.897722239493
84.0	3407.0566439164595
85.0	3511.4579027309837
86.0	3562.404861891995
87.0	3785.9633072715915
88.0	4139.715700854141
89.0	3972.4719528758033
90.0	4339.6479546070395
91.0	3815.250119901448
92.0	6026.256673874768
93.0	7670.104021795298
94.0	6519.840775867867
95.0	5466.491878355793
96.0	943.38279565041
97.0	365.62354802029614
98.0	203.6267212593716
99.0	65.31667492306185
