#Transcript position	Transcript coverage profile
0.0	5915.0242536237465
1.0	6269.00687813616
2.0	6972.470378880346
3.0	8235.024477558512
4.0	9520.0610766301
5.0	10673.513545078891
6.0	11129.12703311821
7.0	11507.396941338775
8.0	12077.072190316743
9.0	13448.307748934536
10.0	16407.785971711106
11.0	24676.787672473856
12.0	26824.812569323436
13.0	27275.16901427751
14.0	24092.12463944133
15.0	17163.38236457435
16.0	15015.569316734274
17.0	14612.532114636277
18.0	14876.568898636853
19.0	15920.185635176918
20.0	16815.16334531859
21.0	18001.26028418937
22.0	18845.99802309833
23.0	22518.727864965203
24.0	21005.541901836164
25.0	22456.131555619748
26.0	24372.469047443796
27.0	25911.92248212207
28.0	25386.664923760265
29.0	23827.14289010236
30.0	23773.640813423546
31.0	21843.4517461281
32.0	20920.759435760032
33.0	22955.555669952562
34.0	24766.82817823961
35.0	24896.05769157885
36.0	24118.2547719208
37.0	21544.38903314428
38.0	19870.46110280264
39.0	19414.27610182342
40.0	20651.474453950937
41.0	23835.188476069314
42.0	24968.592891499313
43.0	26364.931645841636
44.0	24143.20836669588
45.0	22353.21103183567
46.0	20744.916857399472
47.0	19333.829678943523
48.0	18284.55517305679
49.0	18253.11903309494
50.0	18156.981247764492
51.0	18115.195373486265
52.0	18073.89211776074
53.0	18118.908645973683
54.0	18385.81970860191
55.0	18075.53081752552
56.0	18235.998898471764
57.0	18914.13326786579
58.0	19319.72145597819
59.0	19385.896105100368
60.0	19879.133127020035
61.0	21086.050749965394
62.0	21468.037866296374
63.0	21476.414374077533
64.0	21529.785100019177
65.0	21115.8453659679
66.0	20082.366758279604
67.0	19789.00962045786
68.0	20052.183211751595
69.0	20489.16125787739
70.0	20170.262281172683
71.0	19174.59921887278
72.0	18287.389544620004
73.0	17858.319745400568
74.0	18094.67037977371
75.0	18148.60578313837
76.0	19011.54775535565
77.0	18829.29562765439
78.0	18330.78471100774
79.0	17531.288607794144
80.0	17397.501706151354
81.0	18137.95148565963
82.0	17817.01158141547
83.0	17832.972644132038
84.0	16914.397927135076
85.0	16876.337414709647
86.0	16551.853991945212
87.0	16433.28882748351
88.0	16573.707026002186
89.0	16108.41834963313
90.0	16144.323301578388
91.0	15166.920444823429
92.0	16557.120290503728
93.0	17219.666432751892
94.0	15241.102624633138
95.0	13168.693244502565
96.0	7446.751725465568
97.0	5247.022599811548
98.0	3191.519142327233
99.0	983.9006016645527
