#Transcript position	Transcript coverage profile
0.0	605.7310650950028
1.0	704.4773784780224
2.0	1074.1823100062986
3.0	1790.9678198495628
4.0	2507.9995668134625
5.0	3134.699445567111
6.0	3162.404705656467
7.0	3073.248959597369
8.0	3241.1255742360754
9.0	4079.9338812259584
10.0	6586.595170998754
11.0	13864.31677138346
12.0	16098.338978673826
13.0	16243.890107794545
14.0	13170.034600270881
15.0	6873.633627769874
16.0	4019.4973516124496
17.0	3290.150511245114
18.0	3322.103880595844
19.0	3446.6572493092585
20.0	4211.923092735364
21.0	5524.3399041692055
22.0	6299.408486251824
23.0	10247.096609425356
24.0	8924.021633584476
25.0	10782.614730786949
26.0	13750.283450974252
27.0	14615.568468689975
28.0	13635.150759433465
29.0	11658.423754800735
30.0	12129.080054362474
31.0	9072.168571559625
32.0	7744.318492608111
33.0	9665.278933404667
34.0	11103.556015407261
35.0	11141.657709701896
36.0	10396.672555869889
37.0	8059.354781069726
38.0	6731.351796874914
39.0	6211.098424305775
40.0	6417.198942613723
41.0	9046.748158866067
42.0	9798.48413169596
43.0	11059.559686972447
44.0	9235.90762073174
45.0	7615.744819631859
46.0	6212.682827873375
47.0	5126.914862710159
48.0	4026.85871112695
49.0	3961.4248585763717
50.0	4212.843098427206
51.0	4349.27552029557
52.0	4527.283959501032
53.0	4542.578343555195
54.0	4616.49732774179
55.0	4118.213014360473
56.0	4298.51322330542
57.0	4432.846864642113
58.0	4477.3924903017705
59.0	4604.813626072087
60.0	5465.077232394403
61.0	6865.510556806487
62.0	7112.27740898753
63.0	7243.810312696613
64.0	7302.878489467384
65.0	7032.485948691206
66.0	5965.464636939361
67.0	5847.110608164709
68.0	6071.400191331869
69.0	6491.306148980681
70.0	6159.540690083415
71.0	5439.624881985503
72.0	5056.897252227699
73.0	4167.124524782214
74.0	4206.519225060858
75.0	4306.332280450289
76.0	5218.921623026321
77.0	4953.119948721929
78.0	4471.382685188849
79.0	3626.2193326403785
80.0	3387.758241294523
81.0	4232.217697415508
82.0	4037.3981720233774
83.0	4086.4864372110237
84.0	3289.7656549449725
85.0	3615.9223510571123
86.0	3692.690814396807
87.0	3938.1762117326166
88.0	4375.193021046891
89.0	4190.913028067144
90.0	4481.898817364171
91.0	3722.866093378448
92.0	6014.466807253747
93.0	8227.736871681582
94.0	6933.4889424908815
95.0	6196.640226925418
96.0	975.6776998033088
97.0	265.440115524054
98.0	145.66020588921262
99.0	43.69992676735506
