#Transcript position	Transcript coverage profile
0.0	6894.5483927135665
1.0	7190.206124157095
2.0	7920.813625865444
3.0	9137.633555751772
4.0	10347.978734297238
5.0	11501.01465464509
6.0	12161.862711487263
7.0	12500.788088544592
8.0	12978.672531163358
9.0	14268.884551176958
10.0	17214.041430338093
11.0	24672.937294965057
12.0	27150.524963669413
13.0	27607.365763350004
14.0	24793.227791594487
15.0	18759.92626818592
16.0	16079.897697817685
17.0	15632.31785189778
18.0	15785.415754027417
19.0	16141.789752196833
20.0	17051.745451849063
21.0	18517.158252807698
22.0	19400.39493113735
23.0	23450.919459587443
24.0	22149.316793410646
25.0	24087.532518056174
26.0	27235.582701861447
27.0	28098.164100904367
28.0	27309.41203000297
29.0	25256.925651044123
30.0	25661.177636364464
31.0	22647.760121106967
32.0	21297.325935643767
33.0	23237.592788161448
34.0	24758.414052858705
35.0	24890.53591254576
36.0	24172.249609927414
37.0	21821.502381508813
38.0	20526.243365952487
39.0	20019.548305535933
40.0	20264.169510449094
41.0	22892.993424783363
42.0	23696.66707260876
43.0	24880.42180964318
44.0	23152.205250824103
45.0	21619.68539006786
46.0	20264.3224615122
47.0	19106.290553574556
48.0	17980.360291546524
49.0	17865.132768878768
50.0	17969.595823632495
51.0	18038.289575420025
52.0	18184.162068939837
53.0	18176.208004528562
54.0	18309.70653971958
55.0	17832.423214499795
56.0	17883.12628489133
57.0	17951.67511629545
58.0	18057.086263560144
59.0	18277.615491307206
60.0	19130.867008467736
61.0	20560.173762544684
62.0	20905.45788826902
63.0	20959.792625408707
64.0	21091.338109904416
65.0	20742.633571792696
66.0	19603.361945444864
67.0	19445.96170472422
68.0	19792.33786449669
69.0	20323.294381699103
70.0	20128.19922008242
71.0	19429.94242418897
72.0	19064.01528602952
73.0	18247.61263834664
74.0	18424.025912867368
75.0	18619.69840581986
76.0	19720.768153721066
77.0	19526.275566055214
78.0	19071.918545457323
79.0	18136.73013937244
80.0	17805.663832287366
81.0	18678.130771561413
82.0	18525.334381906996
83.0	18476.091430348497
84.0	17587.476388311894
85.0	17737.73600103018
86.0	17473.129350521685
87.0	17406.451500442527
88.0	17602.10721660906
89.0	17120.852644208146
90.0	17022.6487800097
91.0	15750.186051529878
92.0	17198.557707525004
93.0	18486.402117204816
94.0	16302.208345140098
95.0	14448.712228377837
96.0	7906.181062097062
97.0	5493.784652312317
98.0	3328.178945755487
99.0	1025.250494889849
