"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000152952",5219.11975533401,5.63669238745917,0.121197502536975,46.5083212893724,0,0
"ENSG00000159167",1619.01827745142,5.46806047895806,0.148296702215888,36.872434769303,1.27833689981159e-297,8.84481300979641e-294
"ENSG00000131016",2300.76940517834,3.74124007230261,0.125836345619285,29.7309974625428,3.05351478495508e-194,1.40848458647361e-190
"ENSG00000150594",1311.35785986333,4.61120570230544,0.158326064171366,29.1247415669631,1.74540529941898e-186,6.03822963333995e-183
"ENSG00000096088",996.657432065263,3.99010253900797,0.146768592016968,27.1863515495651,9.4183507741762e-163,2.60662276026101e-159
"ENSG00000140459",604.01205209292,5.96619029949897,0.220318443270853,27.0798495619557,1.70085919325245e-161,3.92274825270456e-158
"ENSG00000158406",5443.96947786852,3.03666673046844,0.112915682239862,26.8932239546477,2.63593729755886e-159,5.21087147480279e-156
"ENSG00000104419",15547.8037388402,2.99261639092279,0.11254767590526,26.5897662199786,8.91480604997753e-156,1.54203857649486e-152
"ENSG00000157219",564.818809338977,6.10079042669382,0.239594411957292,25.4629912978993,5.06904029803028e-143,7.79393107157145e-140
"ENSG00000137801",1841.45962953957,3.57895033187334,0.143542186609513,24.9330905179073,3.25784834983444e-137,4.5082105465009e-134
"ENSG00000143847",829.833039610367,4.12750275302961,0.16886186597686,24.4430720290348,5.9628120831246e-132,7.50121760057074e-129
"ENSG00000172243",698.266724611003,4.03441294622661,0.173141557796144,23.3012397345801,4.30679178936164e-120,4.96644873176553e-117
"ENSG00000146648",6096.91829226284,2.66772675373436,0.115362758757744,23.1246789038433,2.61457262642531e-118,2.78311200034411e-115
"ENSG00000134240",1046.16558087695,-3.33112916197183,0.145581525129398,-22.8815377432748,7.09551833871096e-116,7.0134130550773e-113
"ENSG00000131389",795.268921198629,4.0324432775769,0.17762269018257,22.7022981885486,4.25179236696048e-114,3.92242018493327e-111
"ENSG00000170525",2259.6810167273,2.82544534437383,0.124979355589727,22.6072964694186,3.67361979927776e-113,3.17722192390036e-110
"ENSG00000115414",28775.9443727406,2.8848400720454,0.129700594438965,22.2423041661768,1.33900817753772e-109,1.0899526565157e-106
"ENSG00000114268",1398.60076266472,2.85621593292188,0.129148041292492,22.115828504539,2.22584298050011e-108,1.71117862023114e-105
"ENSG00000166292",441.549064014697,4.7562520331277,0.215163235841714,22.1053193149905,2.80940663862598e-108,2.04613521396349e-105
"ENSG00000125629",1951.61857394204,2.79940963397657,0.130840155074593,21.395645949675,1.4668395414851e-101,1.01490627875354e-98
"ENSG00000164188",732.56253967804,3.40708158458536,0.160772512819553,21.1919408662187,1.13328288766008e-99,7.467794571162e-97
"ENSG00000134333",46966.1554674687,1.92686567778272,0.0967274239109495,19.9205726760247,2.69886594919091e-88,1.69758668204108e-85
"ENSG00000102144",24357.0362795528,2.20431920579324,0.110932539143712,19.8708081759273,7.28210191104886e-88,4.38129244543888e-85
"ENSG00000164850",470.423823439308,3.58092351648818,0.182723503671444,19.5974981025268,1.62415339216402e-85,9.3645977669857e-83
"ENSG00000197520",511.485663365112,3.70944333268622,0.189302888024301,19.5952812521805,1.69645621795433e-85,9.39022445762083e-83
"ENSG00000115738",1280.77284536073,2.49692968745747,0.128389160386347,19.4481347174772,3.02226532445454e-84,1.60854259845392e-81
"ENSG00000131711",12131.7083399859,2.0838320230822,0.10764060127654,19.3591637204685,1.70632992342274e-83,8.74525684456441e-81
"ENSG00000198763",97439.5163863917,-1.87606157224752,0.0970668613671714,-19.327518638426,3.15217842425264e-83,1.557851608386e-80
"ENSG00000176171",14128.8063443486,2.05908654575626,0.107582667469908,19.1395751209852,1.18230230283513e-81,5.64162043676986e-79
"ENSG00000149925",3107.69813067174,2.28985695949016,0.121999644234937,18.7693740735877,1.34460344460075e-78,6.20220748879505e-76
"ENSG00000196968",746.559779476886,2.70595598511226,0.148532048714031,18.2179940863944,3.71526808370893e-74,1.65844773362465e-71
"ENSG00000293570",999.090591445351,-2.48073104001143,0.138072924575098,-17.9668175179571,3.54475376455982e-72,1.53288445606184e-69
"ENSG00000114023",13102.7095400533,1.82029593976184,0.101846124125851,17.8730016030114,1.91412290963522e-71,8.02655540107034e-69
"ENSG00000104765",16122.5842533522,2.12098965120456,0.119553392715675,17.7409407046169,2.02516108575573e-70,8.24240561902583e-68
"ENSG00000134107",1488.77680536077,2.37995192937001,0.134354410077718,17.7139844385704,3.27077352997487e-70,1.29317040307978e-67
"ENSG00000124766",6890.29127672986,1.86511162168208,0.106404439046788,17.5285132687176,8.68097499412743e-69,3.33687033246487e-66
"ENSG00000163516",3612.09136434222,1.85391964213844,0.106397996504524,17.4243848854768,5.38847805085166e-68,2.01529079101852e-65
"ENSG00000129521",1118.33567391765,2.55996505624974,0.149125507438072,17.1665136315653,4.72989952853945e-66,1.72243025462971e-63
"ENSG00000168461",285.71105844277,4.00164040917034,0.233346165053554,17.1489443944877,6.40045647594384e-66,2.27101324907976e-63
"ENSG00000172175",9547.00905334989,2.35792603605786,0.13756926113168,17.1399193152668,7.47543311979255e-66,2.58612608779223e-63
"ENSG00000067057",3806.8673865766,1.97163510931949,0.115584116418988,17.0580108271312,3.04757256123958e-65,1.0285929049374e-62
"ENSG00000154734",16571.8989585618,1.89184432729733,0.11104715931479,17.0364045237253,4.41025008612267e-65,1.45307239742299e-62
"ENSG00000100906",4244.44027349872,1.91526455588663,0.112682887652208,16.9969424443401,8.65163217999402e-65,2.7842159559711e-62
"ENSG00000154478",215.65937112418,6.25600372786529,0.371363138458347,16.8460546564639,1.12151567856359e-63,3.5271668090825e-61
"ENSG00000198727",130870.922466689,-1.58182502932025,0.0963683963162779,-16.414354599497,1.50977681429636e-60,4.64273145694066e-58
"ENSG00000196091",581.245368177097,2.79183344677384,0.170175324482184,16.4056302244109,1.7430850085347e-60,5.24365442350069e-58
"ENSG00000163171",1729.87679948894,1.98657513905422,0.121424570871384,16.3605695683985,3.65691567197243e-60,1.07668934188839e-57
"ENSG00000124157",231.430375143968,4.48171530125403,0.274010093688003,16.3560226593589,3.9403741539333e-60,1.13597703212769e-57
"ENSG00000095739",1414.96770724831,2.08023822222479,0.128111004338346,16.2377793614887,2.72615413051729e-59,7.69888180777516e-57
"ENSG00000144481",1053.10837736644,2.68141439520501,0.16718833364425,16.0382865045514,6.90328735327477e-58,1.91055380789232e-55
"ENSG00000152256",2393.03812163593,2.01219769882074,0.125604795550638,16.020070650961,9.25450663087212e-58,2.51105613250997e-55
"ENSG00000069667",316.765905302121,3.20838680271213,0.201168130921656,15.9487826824897,2.90504374046378e-57,7.73076832318034e-55
"ENSG00000075886",790.108046793274,2.25766744402803,0.143168693392895,15.7692816112552,5.06222951023319e-56,1.32171947099258e-53
"ENSG00000100867",681.171336749914,-2.38711087026106,0.153253974140782,-15.5761759761494,1.05691257941944e-54,2.70843634703819e-52
"ENSG00000135919",491.494933200679,3.04231917702101,0.195391418630936,15.5703827646979,1.15712709177321e-54,2.91133176290139e-52
"ENSG00000197930",3766.78002728289,2.17479479123554,0.141221220933277,15.3999149480733,1.63884762639103e-53,4.04970954535697e-51
"ENSG00000115548",2288.38184905925,1.90038944196255,0.12457579257157,15.2548854214253,1.52762938780296e-52,3.70865534533639e-50
"ENSG00000206527",4976.1440832284,1.69846153958932,0.112022803749265,15.1617481686221,6.33601633436719e-52,1.51168610405126e-49
"ENSG00000198888",113278.880906892,-1.66469191599021,0.109978564640912,-15.1365124779138,9.30173188799076e-52,2.18165026891553e-49
"ENSG00000164096",10041.8905366529,1.65310015132048,0.109518666293868,15.0942319447606,1.76733848314731e-51,4.07607165496541e-49
"ENSG00000122884",3832.65867609159,1.59582001575427,0.10635289000491,15.0049520580079,6.81401644921054e-51,1.54577638728156e-48
"ENSG00000067225",26283.4810197904,1.49080800585979,0.100306727380208,14.8624927240319,5.77362770401269e-50,1.28863645432464e-47
"ENSG00000159399",4110.04075818528,1.74134029414689,0.118871422053611,14.6489397036199,1.36834365338454e-48,3.0055776945294e-46
"ENSG00000127663",2485.64659581305,1.65889734124846,0.113357766359022,14.6341745654591,1.70026624712335e-48,3.67629442620202e-46
"ENSG00000159337",229.214875169659,3.62299562074477,0.247592702714941,14.6328853032313,1.73280002410551e-48,3.68899795901109e-46
"ENSG00000198840",27942.5187767555,-1.43944824411149,0.0985480358582952,-14.6065645202844,2.55059104146452e-48,5.34773921693728e-46
"ENSG00000124107",567.560583651441,2.3336129436001,0.160559443420313,14.5342615413232,7.35018894868046e-48,1.51808827868418e-45
"ENSG00000173221",620.597080632821,2.19816202406034,0.151400676940817,14.5188388088886,9.20564587154175e-48,1.87334893485875e-45
"ENSG00000147852",625.257278592325,2.18197781852839,0.150640845313465,14.4846360493262,1.51523105323835e-47,3.03880685720469e-45
"ENSG00000123505",43991.9302293419,1.62476968336188,0.112397742732943,14.4555365958045,2.31319985517366e-47,4.57286565655616e-45
"ENSG00000109181",205.919814701082,-3.5880713098554,0.250603365612123,-14.3177299358737,1.6957227261529e-46,3.30498747669068e-44
"ENSG00000123384",1457.70288773666,1.95950553530804,0.136868408241756,14.3167116537724,1.72074691940729e-46,3.30717998204973e-44
"ENSG00000112715",9577.96958844205,1.69226010620485,0.118914618878174,14.2308836555961,5.89323625931416e-46,1.11713155282725e-43
"ENSG00000164442",6860.65692140686,1.64876822563564,0.116672279677447,14.1316191831842,2.42503613910946e-45,4.53481758013469e-43
"ENSG00000213694",417.550131500181,2.42838920967688,0.172164077495898,14.1050865255833,3.53355608068127e-45,6.51964653926232e-43
"ENSG00000006007",3155.60041895513,1.66277711600843,0.117928567517819,14.099866987337,3.80486173228419e-45,6.92785219096693e-43
"ENSG00000185133",809.905310938513,2.3957671298607,0.172800588959744,13.8643458583282,1.04171430332662e-43,1.87210941940698e-41
"ENSG00000158023",500.38457082569,2.33645645774036,0.168743783175407,13.8461779970385,1.34163114216826e-43,2.38002457479783e-41
"ENSG00000179348",5167.85931667985,1.42881346810637,0.103198688573561,13.8452676856247,1.35873638827163e-43,2.38002457479783e-41
"ENSG00000069399",434.065910476436,2.59754241677456,0.188213634825878,13.8010321047017,2.51229748616395e-43,4.34564657669209e-41
"ENSG00000133639",1977.97945317063,1.64823938815374,0.119645246151457,13.7760541364699,3.55160774999505e-43,6.06754914128783e-41
"ENSG00000177181",1073.44509985065,1.79446264281258,0.131316278157051,13.665195724375,1.63862598643036e-42,2.76528126831992e-40
"ENSG00000146094",517.451545260105,2.204872752734,0.16357039065507,13.4796569471032,2.06062698746176e-41,3.43553689789106e-39
"ENSG00000129152",133.725233200993,6.26059876746872,0.465740954066578,13.4422337413208,3.41956136956912e-41,5.63332026572589e-39
"ENSG00000125266",1569.51275333948,1.70245458790349,0.126779106346405,13.4285107141534,4.11606109456398e-41,6.70094746195017e-39
"ENSG00000168874",121.081201402246,5.39174675213097,0.402832894300415,13.3845741706238,7.44226734565146e-41,1.19751273871075e-38
"ENSG00000164683",200.481995175069,3.17573993776115,0.23894345924906,13.2907590261801,2.61907842877991e-40,4.16583991924787e-38
"ENSG00000117318",1093.00628463659,1.71916430031278,0.1295683390435,13.2683980747458,3.53047282023092e-40,5.55166850981313e-38
