Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
SRR7179504_pass - illumina_universal_adapter	(1, 3.6904639592242115e-05)	(2, 5.166649542913896e-05)	(3, 8.857113502138107e-05)	(4, 0.0001328567025320716)	(5, 0.00014761855836896846)	(6, 0.00023618969339034952)	(7, 0.00023618969339034952)	(8, 0.0002952371167379369)	(9, 0.00033214175633017903)	(10, 0.0003985701075962148)	(11, 0.00046499845886225065)	(12, 0.00047237938678069903)	(13, 0.0004945221705360443)	(14, 0.0005166649542913896)	(15, 0.0005461886659651833)	(16, 0.0005830933055574254)	(17, 0.0006052360893127707)	(18, 0.0006495216568234612)	(19, 0.0006790453684972549)	(20, 0.0007307118639263938)	(21, 0.0007823783593555328)	(22, 0.0008635685664584654)	(23, 0.0009299969177245013)	(24, 0.001099758259848815)	(25, 0.0012990433136469224)	(26, 0.0016607087816508952)	(27, 0.0022290402313714236)	(28, 0.0029302283836240236)	(29, 0.004155462418086462)	(30, 0.005926885118514084)	(31, 0.00856187638540017)	(32, 0.011787341885762132)	(33, 0.015669709970866003)	(34, 0.019958029091484534)	(35, 0.0255011059582393)	(36, 0.031435372004671835)	(37, 0.03872034786018042)	(38, 0.04726008146182525)	(39, 0.057652427971000626)	(40, 0.06983833996435898)	(41, 0.08430495868451789)	(42, 0.1010744269152327)	(43, 0.1184343693794234)	(44, 0.13761740103947084)	(45, 0.15733185950964657)	(46, 0.17940083398580736)	(47, 0.203492182711623)	(48, 0.23182018406262805)	(49, 0.26256174884296574)	(50, 0.2982042497611532)	(51, 0.3378472136111397)	(52, 0.38154230688835433)	(53, 0.4286400079359737)	(54, 0.479686505419963)	(55, 0.5347334658357513)	(56, 0.5905037571875477)	(57, 0.6493592764092553)	(58, 0.7129828750662808)	(59, 0.7833600227686864)	(60, 0.8608745277682318)	(61, 0.9478587632871465)	(62, 1.0420910700219774)	(63, 1.1453059660335603)	(64, 1.2592896358781591)	(65, 1.3774287681408446)
SRR7179505_pass - illumina_universal_adapter	(1, 3.754077867083119e-05)	(2, 6.0065245873329904e-05)	(3, 9.009786880999486e-05)	(4, 0.00014265495894915853)	(5, 0.00015016311468332477)	(6, 0.00021773651629082092)	(7, 0.00023275282775915337)	(8, 0.0002702936064299846)	(9, 0.00030783438510081576)	(10, 0.00033035885230331446)	(11, 0.0003528833195058132)	(12, 0.0003678996309741457)	(13, 0.0003904240981766444)	(14, 0.0003979322539108106)	(15, 0.00042796487684747557)	(16, 0.00045048934404997426)	(17, 0.00048052196698663923)	(18, 0.0005030464341891379)	(19, 0.0005180627456574705)	(20, 0.0005706198357966341)	(21, 0.0006682258603407952)	(22, 0.0007433074176824575)	(23, 0.0008709460651632837)	(24, 0.0009610439339732785)	(25, 0.0012013049174665982)	(26, 0.0015166474583015802)	(27, 0.0020422183596932168)	(28, 0.002702936064299846)	(29, 0.0036714881540072905)	(30, 0.005405872128599692)	(31, 0.007568220980039568)	(32, 0.010826760568667715)	(33, 0.015354178476369957)	(34, 0.01995667794141386)	(35, 0.025580286586304374)	(36, 0.03174448244405485)	(37, 0.03887723039151278)	(38, 0.04742151161699396)	(39, 0.05736230980903006)	(40, 0.06930027742635438)	(41, 0.08329547971484025)	(42, 0.0999410609774868)	(43, 0.11801319182962493)	(44, 0.13808249210705129)	(45, 0.15919542603152675)	(46, 0.1817349095454938)	(47, 0.20669952736159652)	(48, 0.2350803560367449)	(49, 0.26646444700555977)	(50, 0.3026612657999752)	(51, 0.34273229295322044)	(52, 0.38705293625200377)	(53, 0.43612624213051426)	(54, 0.4872793071473889)	(55, 0.5414731752366008)	(56, 0.5977918513985817)	(57, 0.6564680884610908)	(58, 0.7195816455624923)	(59, 0.7909466658157424)	(60, 0.869384368770577)	(61, 0.9557056352462863)	(62, 1.0514271127011716)	(63, 1.1558730671191582)	(64, 1.2674292450174)	(65, 1.3852021758635318)
SRR7179506_pass - illumina_universal_adapter	(1, 2.134629062661609e-05)	(2, 2.134629062661609e-05)	(3, 3.5577151044360154e-05)	(4, 0.00014230860417744061)	(5, 0.00014942403438631264)	(6, 0.00024192462710164903)	(7, 0.0002561554875193931)	(8, 0.00031307892919036934)	(9, 0.00040557952190570576)	(10, 0.0005123109750387862)	(11, 0.0005763498469186345)	(12, 0.0005976961375452506)	(13, 0.0006261578583807387)	(14, 0.0006403887187984827)	(15, 0.0006617350094250988)	(16, 0.000711543020887203)	(17, 0.0007613510323493073)	(18, 0.0007826973229759234)	(19, 0.0008253899042291556)	(20, 0.0008680824854823877)	(21, 0.00094635221777998)	(22, 0.0010744299615396767)	(23, 0.0012523157167614774)	(24, 0.0013590471698945578)	(25, 0.0015511637855341028)	(26, 0.0018215501334712398)	(27, 0.0022840530970479216)	(28, 0.003066750420023845)	(29, 0.004340412427411938)	(30, 0.006090808258794459)	(31, 0.008204091030829452)	(32, 0.01156257408941705)	(33, 0.016180488294975)	(34, 0.020698786477608738)	(35, 0.026156321447813585)	(36, 0.032496169763918566)	(37, 0.04035160471451329)	(38, 0.04861261918701371)	(39, 0.059136340465935446)	(40, 0.07150295816895504)	(41, 0.08605401294609834)	(42, 0.10301008313384039)	(43, 0.12095519812061566)	(44, 0.1408072484033686)	(45, 0.16106487820802728)	(46, 0.18349271422639193)	(47, 0.20757133005321488)	(48, 0.2355990096459618)	(49, 0.26693536428583425)	(50, 0.3030105954448154)	(51, 0.34331239214786663)	(52, 0.38842421967211527)	(53, 0.4371649166028887)	(54, 0.4894348669172626)	(55, 0.5440884863516087)	(56, 0.6011826983475979)	(57, 0.6597640352572413)	(58, 0.7243792569840082)	(59, 0.7954766356310575)	(60, 0.8731059792098514)	(61, 0.9612376977769403)	(62, 1.0563283070883063)	(63, 1.159879162918021)	(64, 1.272459499682794)	(65, 1.3914223773449257)
SRR7179507_pass - illumina_universal_adapter	(1, 0.00010669798750523887)	(2, 0.00012092438583927073)	(3, 0.0001778299791753981)	(4, 0.0001991695766764459)	(5, 0.00021339597501047775)	(6, 0.000284527966680637)	(7, 0.0002916411658476529)	(8, 0.0003414335600167644)	(9, 0.0003698863566848281)	(10, 0.0004267919500209555)	(11, 0.00044813154752200326)	(12, 0.00047658434419006697)	(13, 0.0005121503400251466)	(14, 0.0005192635391921625)	(15, 0.0005477163358602262)	(16, 0.0005619427341942581)	(17, 0.0006117351283633695)	(18, 0.0006330747258644173)	(19, 0.0006686407216994969)	(20, 0.0007539991117036881)	(21, 0.0008251311033738472)	(22, 0.0009389422900461021)	(23, 0.0010456402775513409)	(24, 0.0011879042608916594)	(25, 0.0013657342400670576)	(26, 0.0016573754059147105)	(27, 0.002176638945106873)	(28, 0.002823940069305322)	(29, 0.0038695803468566633)	(30, 0.005598087744441533)	(31, 0.007981009465391868)	(32, 0.011004119111373636)	(33, 0.014802567466560139)	(34, 0.019539958111792745)	(35, 0.024753933101215417)	(36, 0.030586756418168475)	(37, 0.037557691601844086)	(38, 0.046434964162279956)	(39, 0.05629385820776403)	(40, 0.06844320238502723)	(41, 0.08261269512572295)	(42, 0.09914376998986796)	(43, 0.11745314464576695)	(44, 0.13714959313923406)	(45, 0.15756447474856974)	(46, 0.17873335546960914)	(47, 0.2039140805208455)	(48, 0.2303111626296416)	(49, 0.26089791904781007)	(50, 0.2962291793103782)	(51, 0.3360346418489993)	(52, 0.37938247757279436)	(53, 0.42602372451091775)	(54, 0.4753608739333402)	(55, 0.528830792071799)	(56, 0.5841857079895169)	(57, 0.6412477917073186)	(58, 0.7033460204353676)	(59, 0.7731549570604619)	(60, 0.8515779778768124)	(61, 0.9370146130718408)	(62, 1.0310368796614573)	(63, 1.1321012134264195)	(64, 1.2423558005151663)	(65, 1.3584858901158683)
SRR7179508_pass - illumina_universal_adapter	(1, 3.0440699751323837e-05)	(2, 3.65288397015886e-05)	(3, 6.0881399502647674e-05)	(4, 9.13220992539715e-05)	(5, 9.13220992539715e-05)	(6, 0.00010349837915450104)	(7, 0.00010349837915450104)	(8, 0.00011567465905503058)	(9, 0.00011567465905503058)	(10, 0.0001461153588063544)	(11, 0.00016437977865714872)	(12, 0.000182644198507943)	(13, 0.0002009086183587373)	(14, 0.00023134931811006116)	(15, 0.000261790017861385)	(16, 0.0002739662977619145)	(17, 0.0002800544377121793)	(18, 0.00028614257766244406)	(19, 0.00030440699751323836)	(20, 0.0003896409568169451)	(21, 0.0004505223563195928)	(22, 0.000547932595523829)	(23, 0.0006636072545788596)	(24, 0.0007366649339820368)	(25, 0.0008645158729375969)	(26, 0.0009619261121418332)	(27, 0.001095865191047658)	(28, 0.0013211263692074545)	(29, 0.00157074010716831)	(30, 0.0019969099036868435)	(31, 0.002514401799459349)	(32, 0.003086686954784237)	(33, 0.0037442060694128317)	(34, 0.004535664262947252)	(35, 0.005381915716034054)	(36, 0.006532574166634095)	(37, 0.007744114016736784)	(38, 0.009193091324899798)	(39, 0.010983004470277639)	(40, 0.013071236473218456)	(41, 0.01571957735158363)	(42, 0.018909762685522368)	(43, 0.022623528055183875)	(44, 0.026751286941463386)	(45, 0.030872957687792635)	(46, 0.035804351047507094)	(47, 0.04130802956254644)	(48, 0.047755369769876835)	(49, 0.05549948378661362)	(50, 0.06478998535071766)	(51, 0.07549902352323337)	(52, 0.08797971042127616)	(53, 0.10202504928653697)	(54, 0.11972327212195664)	(55, 0.1374093186774758)	(56, 0.1563982271823516)	(57, 0.17683611299539043)	(58, 0.19961184454933092)	(59, 0.22532205955929904)	(60, 0.25408852082430006)	(61, 0.2869827409755806)	(62, 0.32554501942055764)	(63, 0.36951356614136976)	(64, 0.4201912430873737)	(65, 0.474418305624382)
SRR7179509_pass - illumina_universal_adapter	(1, 2.4706824191612786e-05)	(2, 2.4706824191612786e-05)	(3, 3.706023628741918e-05)	(4, 6.176706047903197e-05)	(5, 6.176706047903197e-05)	(6, 7.412047257483835e-05)	(7, 7.412047257483835e-05)	(8, 8.647388467064475e-05)	(9, 8.647388467064475e-05)	(10, 9.882729676645114e-05)	(11, 9.882729676645114e-05)	(12, 0.00010500400281435434)	(13, 0.00012353412095806395)	(14, 0.0001482409451496767)	(15, 0.00015441765119757992)	(16, 0.0001853011814370959)	(17, 0.00019765459353290229)	(18, 0.00021000800562870868)	(19, 0.00025942165401193426)	(20, 0.00030883530239515984)	(21, 0.0003706023628741918)	(22, 0.00043854612940112697)	(23, 0.0005126666019759653)	(24, 0.0005991404866466101)	(25, 0.0007288513136525772)	(26, 0.0008215019043711252)	(27, 0.0009697428495208019)	(28, 0.0012724014458680584)	(29, 0.0015503532180237024)	(30, 0.0019394856990416038)	(31, 0.00241509206473015)	(32, 0.0030574694937120822)	(33, 0.0037554372771251435)	(34, 0.004601646005687882)	(35, 0.005589918973352393)	(36, 0.006633782295448034)	(37, 0.007900007035268188)	(38, 0.009209468717423666)	(39, 0.011025420295507207)	(40, 0.013045203173171552)	(41, 0.015849427718919604)	(42, 0.01906749156987717)	(43, 0.023002053322391504)	(44, 0.027239273671253096)	(45, 0.031772975910414045)	(46, 0.03684405157574257)	(47, 0.041921303947118994)	(48, 0.04814742364340542)	(49, 0.05551005725250603)	(50, 0.06465775890945066)	(51, 0.0751766893090298)	(52, 0.088116888479387)	(53, 0.103558653599145)	(54, 0.12052606511273507)	(55, 0.13882146842662435)	(56, 0.1588092891976391)	(57, 0.18057600131044996)	(58, 0.20344834380583549)	(59, 0.22870489483571166)	(60, 0.2581430758600183)	(61, 0.29230643701097087)	(62, 0.3311146811099467)	(63, 0.37465428204161627)	(64, 0.4260815365964583)	(65, 0.4799053530978868)
SRR7179510_pass - illumina_universal_adapter	(1, 5.872048877055797e-06)	(2, 1.1744097754111593e-05)	(3, 2.3488195508223186e-05)	(4, 5.284843989350217e-05)	(5, 5.284843989350217e-05)	(6, 9.395278203289275e-05)	(7, 9.982483090994855e-05)	(8, 0.00011156892866406015)	(9, 0.00012918507529522752)	(10, 0.00015854531968050652)	(11, 0.0001702894174346181)	(12, 0.0001702894174346181)	(13, 0.0002055217106969529)	(14, 0.0002231378573281203)	(15, 0.0002466260528363435)	(16, 0.00027011424834456665)	(17, 0.00027598629722162246)	(18, 0.00031121859048395724)	(19, 0.00036993907925451523)	(20, 0.00040517137251685)	(21, 0.0004991241545497428)	(22, 0.0005754607899514681)	(23, 0.0006576694742302493)	(24, 0.0007692384028943094)	(25, 0.0008631911849272022)	(26, 0.0009571439669600949)	(27, 0.0011391774821488247)	(28, 0.0013505712417228332)	(29, 0.001591325245682121)	(30, 0.0020082407159530825)	(31, 0.0025249810171339925)	(32, 0.003188522540241298)	(33, 0.003963632992012663)	(34, 0.004903160812341591)	(35, 0.005813328388285239)	(36, 0.007064074799098124)	(37, 0.008361797600927454)	(38, 0.009870914162330794)	(39, 0.01186153873165271)	(40, 0.014198614184720917)	(41, 0.017052429938970035)	(42, 0.020499322629801787)	(43, 0.02423981776448633)	(44, 0.028420716564950058)	(45, 0.033006786737930636)	(46, 0.03805087672332157)	(47, 0.04381722872059036)	(48, 0.05014142536117945)	(49, 0.05772811251033554)	(50, 0.06671234729223091)	(51, 0.0779514488429157)	(52, 0.09096978120334841)	(53, 0.10590827354657835)	(54, 0.12321320158726179)	(55, 0.14089394075607678)	(56, 0.16088826718245178)	(57, 0.18121730039481895)	(58, 0.20347823768773748)	(59, 0.22962647133726694)	(60, 0.25937427094843163)	(61, 0.29287430979203494)	(62, 0.3316826808204967)	(63, 0.37601664984226796)	(64, 0.4253359883606596)	(65, 0.47836058972047346)
SRR7179511_pass - illumina_universal_adapter	(1, 5.851461355661885e-06)	(2, 1.170292271132377e-05)	(3, 1.7554384066985658e-05)	(4, 2.925730677830943e-05)	(5, 3.5108768133971316e-05)	(6, 5.266315220095697e-05)	(7, 5.851461355661886e-05)	(8, 7.021753626794263e-05)	(9, 7.606899762360451e-05)	(10, 8.777192033492829e-05)	(11, 9.947484304625206e-05)	(12, 0.00010532630440191394)	(13, 0.00010532630440191394)	(14, 0.00011117776575757583)	(15, 0.00012873214982456148)	(16, 0.00015213799524720902)	(17, 0.00019309822473684223)	(18, 0.00019894968609250412)	(19, 0.00022235553151515167)	(20, 0.00026331576100478487)	(21, 0.00030427599049441805)	(22, 0.00033938475862838936)	(23, 0.0004388596016746414)	(24, 0.00047396836980861273)	(25, 0.0005734432128548648)	(26, 0.000667066594545455)	(27, 0.0008367589738596497)	(28, 0.0010005998918181825)	(29, 0.001281470036889953)	(30, 0.0016150033341626804)	(31, 0.0020831202426156315)	(32, 0.002551237151068582)	(33, 0.0031597891320574185)	(34, 0.0039321820310047875)	(35, 0.004745535159441789)	(36, 0.005611551440079748)	(37, 0.006775992249856463)	(38, 0.008151085668437006)	(39, 0.009941632843269543)	(40, 0.012124227928931428)	(41, 0.014716425309489642)	(42, 0.017987392207304637)	(43, 0.021679664322727287)	(44, 0.025740578503556634)	(45, 0.030088214290813417)	(46, 0.03448266176891549)	(47, 0.039819194525279135)	(48, 0.04591056579652315)	(49, 0.05341799071583735)	(50, 0.061896758220191424)	(51, 0.0723416167400479)	(52, 0.08443658736220101)	(53, 0.09950995181438603)	(54, 0.11663132774105271)	(55, 0.13456020533480073)	(56, 0.15371788981323775)	(57, 0.17385861979942596)	(58, 0.19556754142893154)	(59, 0.22034262880880398)	(60, 0.2486929590769858)	(61, 0.2814728455914037)	(62, 0.32036750922248824)	(63, 0.3628666730486605)	(64, 0.41163275198674665)	(65, 0.46446559656701786)
SRR7179520_pass - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 1.613770887944349e-05)	(4, 8.875739883693919e-05)	(5, 8.875739883693919e-05)	(6, 0.00011296396215610442)	(7, 0.00012103281659582616)	(8, 0.00015330823435471313)	(9, 0.00018558365211360011)	(10, 0.00022592792431220884)	(11, 0.0002501344876313741)	(12, 0.00026627219651081756)	(13, 0.0002904787598299828)	(14, 0.000314685323149148)	(15, 0.00032275417758886974)	(16, 0.00033889188646831327)	(17, 0.0003630984497874785)	(18, 0.00039537386754636545)	(19, 0.0004115115764258089)	(20, 0.00046799355750386115)	(21, 0.0005164066841421916)	(22, 0.000597095228539409)	(23, 0.0006535772096174612)	(24, 0.0007584723173338439)	(25, 0.0008875739883693919)	(26, 0.0010489510771638268)	(27, 0.0012668101470363138)	(28, 0.0014927380713485225)	(29, 0.0018316299578168358)	(30, 0.002372243205278193)	(31, 0.002807961345023167)	(32, 0.00346960740908035)	(33, 0.004187735454215585)	(34, 0.005204411113620525)	(35, 0.00610812281086936)	(36, 0.007253900141309848)	(37, 0.008674018522700874)	(38, 0.010207100866248006)	(39, 0.01179666519087319)	(40, 0.013894567345200844)	(41, 0.016525013892550133)	(42, 0.019494352326367734)	(43, 0.022560517013461998)	(44, 0.026070468694740955)	(45, 0.02975793517369379)	(46, 0.0337681558302355)	(47, 0.03841581598751522)	(48, 0.043846155025447954)	(49, 0.05038999597606229)	(50, 0.05794244373164184)	(51, 0.06679397705201659)	(52, 0.07667832374067574)	(53, 0.08722431649339205)	(54, 0.09928725388077606)	(55, 0.11201990618665697)	(56, 0.12584185384190033)	(57, 0.14051910006775417)	(58, 0.15733459272013428)	(59, 0.17649812201447343)	(60, 0.19888919308470127)	(61, 0.2250645568871586)	(62, 0.25499193800408654)	(63, 0.2878886575548321)	(64, 0.3247149092177221)	(65, 0.36539000444835945)
SRR7179521_pass - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 1.637670616619016e-05)	(5, 2.456505924928524e-05)	(6, 3.275341233238032e-05)	(7, 3.275341233238032e-05)	(8, 4.913011849857048e-05)	(9, 4.913011849857048e-05)	(10, 5.731847158166556e-05)	(11, 6.550682466476064e-05)	(12, 6.550682466476064e-05)	(13, 8.18835308309508e-05)	(14, 9.007188391404588e-05)	(15, 0.00011463694316333112)	(16, 0.00013101364932952128)	(17, 0.00018014376782809176)	(18, 0.00019652047399428192)	(19, 0.00022108553324356716)	(20, 0.0002702156517421376)	(21, 0.0003520991825730884)	(22, 0.0004339827134040392)	(23, 0.00047492447881951463)	(24, 0.0005731847158166555)	(25, 0.0006960100120630818)	(26, 0.0008352120144756981)	(27, 0.0010481091946361702)	(28, 0.0012855714340459276)	(29, 0.0014984686142063995)	(30, 0.00207984168310615)	(31, 0.0026120846335073306)	(32, 0.0032343994678225565)	(33, 0.00409417654154754)	(34, 0.004855693378275382)	(35, 0.005846484101329887)	(36, 0.007009230239129388)	(37, 0.00822110649542746)	(38, 0.009711386756550764)	(39, 0.01139818749166835)	(40, 0.01337976893777736)	(41, 0.015697072860293267)	(42, 0.018792270325703207)	(43, 0.02226413203293552)	(44, 0.025424836323010222)	(45, 0.029150536975818483)	(46, 0.033514929169108164)	(47, 0.038100406895641405)	(48, 0.04341464804657011)	(49, 0.049973518866129274)	(50, 0.057465861937161265)	(51, 0.06647305032856586)	(52, 0.07629088567519686)	(53, 0.08729603221887665)	(54, 0.09916095583628141)	(55, 0.11208217700140545)	(56, 0.1261497675981628)	(57, 0.14156024810054774)	(58, 0.15890317993054312)	(59, 0.1788827614532951)	(60, 0.20024617464709016)	(61, 0.22578564791326372)	(62, 0.256295451500876)	(63, 0.28920444254183514)	(64, 0.326657969543912)	(65, 0.3663223518784246)
